"sites"	"Antocha spec."	"Arcynopteryx compacta"	"Asellus aquaticus"	"Baetis spec."	"Bathyomphalus contortus"	"Bithynia tentaculata"	"Calopteryx splendens"	"Chironomidae"	"Cordulegaster bidentatus"	"Cordulegaster boltonii"	"Dicranota spec."	"Diplectrona felix"	"Ecdyonurus spec."	"Eloeophila spec."	"Ephemera danica"	"Erpobdella octoculata"	"Gammarus fossarum"	"Gammarus pulex"	"Gammarus roeselli"	"Glossiphonia nebulosa"	"Gyraulus albus"	"Gyrinidae"	"Helobdella stagnalis"	"Hippeutis complanatus"	"Hydropsyche modesta"	"Ilybius spec."	"Laccobius spec."	"Leuctridae"	"Limnephilus extricatus"	"Limnophora aequifrons"	"Limoniidae"	"Nepa cinerea"	"Notonecta maculata"	"Odontocerum albicorne"	"Omphiscola glabra"	"Osmylus spec."	"Philopotamus ludificatus"	"Philopotamus montanus"	"Philopotamus variegatus"	"Physa fontinalis"	"Pisidium spec."	"Planorbis planorbis"	"Platambus maculatus"	"Polycentropus irroratus"	"Protonemura spec."	"Psychomyia pusilla"	"Ptychoptera rufocinctus"	"Ptychoptera spec."	"Radix ovata"	"Rhyacophila aurata"	"Rhyacophila dorsalis/vulgaris etc"	"Rhyacophila fasciata"	"Rhyacophila polonica"	"Rhyacophila pubescens"	"Rhyacophila tristis"	"Rhyacophilidae"	"Scirtes spec."	"Sericostoma pers./flavi."	"Sialis nigripes"	"Silo pallipes"	"Simuliidae"	"Stagnicola glaber"	"Stenelmis spec."	"Tabanidae"	"Theromyzon tessulatum"	"Tipula spec."
"V 41"	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	6	5	28	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	14	0	0	0
"A 22"	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	42	292	192	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	1	0	0	12	0	3	0	0	0	1	0	0	0
"A 23"	0	0	0	6	0	0	0	1	0	0	0	0	0	3	0	0	459	230	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	11	0	0	2	0	0	178	2	0	0
"A 24"	0	0	0	0	1	0	2	4	0	0	0	0	0	0	0	0	0	54	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"A 25"	0	0	0	9	0	0	0	1	0	0	0	0	0	2	4	0	0	127	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"A 26"	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	9	459	84	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0
"A 27"	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	33	13	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
"A 29"	0	0	2	0	0	3	1	1	0	0	0	0	0	0	0	0	190	358	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
"A 30"	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"U 31"	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	3	43	64	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"U 33"	0	0	2	28	0	0	0	10	0	0	0	0	0	0	0	22	0	5	44	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	4	0	1	0
"U 35"	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	2	3	22	2	14	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0
"U 37"	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	5	19	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	2	2	0	0	4	0	9	0	0	0
"U 39"	0	0	2	18	0	0	0	1	0	0	0	0	0	0	0	3	219	440	78	1	0	2	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	4	0	0	0	2	0	3	0	0	0
"U 40"	0	0	0	60	0	0	0	2	0	0	0	0	5	0	0	0	85	401	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	0	0	0	0	3	0	0	1	13	0	9	0	0	0
